0.11,0.94,0.08
0.06,1,0.08
0,1.05,0.11
0.01,1.02,0.08
0.03,0.99,0.04
0.07,0.94,0.04
0.11,0.88,0.07
0.11,0.82,0.13
0.07,0.86,0.14
0.1,0.84,0.14
0.12,0.83,0.14
0.15,0.84,0.11
0.15,0.86,0.12
0.17,0.86,0.11
0.17,0.87,0.1
0.16,0.88,0.13
0.16,0.89,0.14
0.17,0.91,0.15
0.18,0.93,0.16
0.19,0.94,0.15
0.21,0.97,0.13
0.21,0.99,0.15
0.19,1.03,0.17
0.18,1.07,0.18
0.18,1.08,0.15
0.2,1.1,0.11
0.24,1.1,0.11
0.24,1.11,0.14
0.22,1.14,0.19
0.21,1.18,0.24
0.2,1.23,0.2
0.23,1.23,0.11
0.28,1.23,0.07
0.26,1.27,0.11
0.17,1.3,0.11
0.06,1.29,0.06
0.09,1.25,-0.03
0.12,1.11,-0.16
0.09,0.95,-0.05
0.04,0.85,0.16
0.01,0.84,0.25
0.09,0.83,0.08
0.12,0.84,0.14
0.12,0.88,0.04
0.13,0.91,0.01
0.14,0.94,0.02
0.12,0.9,0.06
0.06,0.92,0.09
0.09,0.93,0.04
0.13,0.91,0.09
0.12,0.92,0.08
0.13,0.93,0.06
0.14,0.92,0.03
0.17,0.89,0.05
0.18,0.88,0.09
0.18,0.86,0.12
0.2,0.84,0.12
0.21,0.83,0.11
0.2,0.83,0.12
0.21,0.82,0.12
0.21,0.85,0.13
0.22,0.87,0.14
0.22,0.9,0.11
0.21,0.95,0.14
0.22,0.97,0.16
0.21,1.02,0.15
0.2,1.07,0.14
0.22,1.11,0.11
0.25,1.1,0.08
0.25,1.1,0.1
0.23,1.11,0.14
0.24,1.11,0.17
0.33,1.09,0.19
0.2,1.14,0.25
0.23,1.11,0.3
0.26,1.18,0.25
0.21,1.24,0.23
0.12,1.28,0.16
0.13,1.26,0.05
0.21,1.18,-0.03
0.13,1.09,0.06
0.08,1,0.2
0.07,0.98,0.24
0.07,0.96,0.2
0.07,0.94,0.11
0.04,0.96,0.05
0.04,0.98,0.03
0,0.98,0.05
-0.01,0.95,0.04
0.03,0.92,0.03
0.06,0.85,0.04
0.09,0.83,0.07
0.09,0.82,0.15
0.09,0.86,0.11
